Measure,1,1.5,2,2.5,3,3.5
0,,,,,,pdo
1,,,,,,
2,,,,,,/pdo
3,att; plag,,,,/plag,
4,/att; mod maj direct,,,,,
5,/mod; cant d,,,,,
6,/cant; cad simple long ptc a,,,,,
7,,,,,,
8,,,,/cad,,
9,cad simple dec,,,,,
10,/cad; ten #6 mod dom,,,,,
11,/ten; cad long,,,,,
12,/cad; fen imit; alt mod sub,,,,,
13,/alt; cant,,,,,
14,/fen; /cant; 3to5 long 5-6 chain imit mod min,,,,,
15,/3to5; cad double,,,,,
16,/cad; cad double,,,,,
17,,,,,,
18,,,,,/cad,
