Measure,1,1.5,2,2.5,3,3.5
0,,,,,,d3
1,,,,,,
2,ttc phr d blt,,/d3,,,
3,/ttc; tail ten comp d,,,,,
4,/tail; att 5-6,,,,,
5,/att; cad long mod dom,,,,,
6,,,,/cad,,
7,alt mod sub 5C!,,,,,
8,,,,/alt; cad double leap mod super,,
9,,,,,,
10,/cad; alt mod sub,,,/alt; tail ten d X,,
11,/tail; alt ,,,/alt; cad double long mod sub,,
12,,,,,,
13,,,,,/cad,
