Measure,1,1.5,2,2.5,3,3.5
0,,,,,,pdo
1,,,,,,
2,,,,/pdo; cad double,,
3,,,,,,
4,/cad; 1to3 tail a cant mod maj,,,,,
5,/1to3; ptc a att; ten a ev,,,,,
6,,,/ten; long att,,,
7,/ptc; /long,,,cad double long,,
8,,,,,,
9,,,,/cad,,
10,att #4,,,,,
11,,,,/att; cad,,
12,/cad; 3to1 tail d ten 4/2 mod min,,,,/3to1; cant comp,
13,,,,,,
14,,,/cant,cant mod sub,,
15,,,/cant; cad double mod dom #3,,,
16,,,,,,
17,,,,,/cad,
