Measure,1,1.5,2,2.5,3,3.5
0,,,,,,4fall imit 2vc
1,,,,cad mod maj,,
2,/4fall; /cad; 3to5 long mod min,,,,,
3,/3to5; att doux,,,,,
4,/att; cad mod dom,,,,/cad; d3,
5,/d3; ttc d ten comp mod maj,,,,,
6,/ttc; cad long mod min 3to5,,,,,
7,,,,/cad; cad mod sub,,
8,/cad; cad long dec mod maj,,,,,
9,,,/cad,cad double long mod dom,,
10,,,,,,
11,/cad; cad mod sub,,,/cad; fen mod sub,,
12,/fen; cad comp long 3to5 mod min,,fonte,,,
13,/cad; cant mod subt,,,,,
14,/fonte; /cant; long 3to5 mod min,,,,,
15,//long />cad double,,,,,
16,,,,,/cad,
