Measure,1,1.5,2,2.5,3,3.5
0,,,,,,
1,cad,,,,,
2,/cad; mon-rom gal,,,,,
3,,,,/mon-rom; tail cant a mod dom,,
4,/tail; 4up; alt mod sub,,,/alt,d3,
5,/4up; /d3; tail ten d mod super,,,/tail; alt mod sub #3,,
6,/alt; cad simple long,,,,,
7,,,,/cad,,
8,ptc d X mod sub,,,,,
9,/ptc,,,cant mod min,,
10,/cant; cad double,,,,,
11,/cad; cad ev alt mod sub #3,,,,,
12,/cad; cant mod sub,,,,,
13,/cant; alt mod sub,,,/alt; cad leap simple mod super 2vc,,
14,/cad; cad X simple,,,,,
15,/cad; ptc ten d; alt mod sub #3,,,/alt,,
16,/ptc; cad double mod sub,,,,,
17,,,,,/cad,
