Measure,1,1.5,2,2.5,3,3.5
0,,,,,,ttc d cad
1,,,,,,
2,/ttc; d3,,,/d3,cad long ev alt,
3,,,,,/cad,
4,cad double long mod dom; cant,,,,,
5,/cant,,,,,
6,,,,/cad,,
7,3fall mod super; alt mod sub,,,/alt; lyd,,
8,/lyd; att X mod min,,,,,
9,/3fall; /att,,,ttc a cant mod sub #3,,
10,/ttc,,tail d ten comp mod sub,,,
11,/tail; alt mod sub,,,/alt; cad long,,
12,,,,,,
13,,,,,/cad,
