Measure,1,1.5,2,2.5,3,3.5
0,,,,,,ttc d ten att
1,,,,,,
2,/ttc; alt,,/alt,ttc d ten comp,,
3,,,,/ttc; att doux,,
4,/att; cad long simple mod dom,,,,,
5,/cad; cad comp,,,,,
6,,,,/cad; ,,ttc cant a mod sub
7,,,,,,/ttc
8,cad dec,,,/cad; tail cant a; ten ev mod dom,,
9,/ten; cant mod sub,,,/tail; /cant; att 5-6,,
10,/att; 4/2 chain d cant comp,,,,,
11,,,,/4/2; att doux,,
12,,,/att,ten comp d mod dom,,
13,//ten />cad double mod sub,,,,,
14,,,,,,/cad
