Measure,1,1.5,2,2.5,3,3.5
0,,,,,,att
1,,,,,,
2,/att; alt,,,/alt; plag 5-6,,
3,/plag; ttc a,,,,/ttc; ten d dec,
4,,,/ten,alt mod min,,
5,/alt; tail d X,,/tail,cad long mod subt,,
6,,,,/cad,,alt mod sub
7,,,,/alt,mod sub,
8,,,,,,
9,/mod; tail a mod dom,,,/tail,att,
10,/att; d3,,,/d3; cad mod super,,
11,/cad; tpro 10s,,,/tpro,cant mod sub,
12,/cant; cad double mod sub,,,,,
13,,,,,/cad,
