Measure,1,1.5,2,2.5,3,3.5
0,,,,,,1to3 tail ↑
1,,,,,,
2,/1to3; d3,,/d3,cad leap,,
3,,,/cad,,att doux,
4,,,/att,ttc ↓ phr blt mod maj,,
5,tail ten ↓,/ttc,,/tail; cad double 5-6,,
6,,,,,,
7,,,,/cad; cant lyd,,
8,/cant; cad leap double doux,,,,,
9,,,,/cad; cad ↓ simple no-ten,,
10,,,/cad; att phr ↑ mod min,,,
11,/att; alt,,,/alt; cant ↓; fonte,,
12,/cant; cant ↓ mod subt,,,/cant,cad simple,
13,/cad; /fonte; fen; alt mod ←,,,/alt; cant ,,
14,/cant; /fen; cad comp long 3to5 mod min,,,,,
15,,,,,/cad,
