Measure,1,1.5,2,2.5,3,3.5
0,,,,,,tpro 5-6
1,,,,,,
2,/tpro; cad double,,,,,
3,/cad; cant comp,,,,,
4,/cant; d3,,,,,
5,,,,/d3; tail ten comp d mod super,,
6,/tail; ttc a mod sub #3,,,,/ttc; cad double,
7,,,,,,
8,,,,/cad; alt mod sub,,
9,,,,,,
10,/alt; ttc d ten comp dec,,,,,
11,,,/ttc,X 2vc,,
12,/X; tail ten d,,,/tail; att ten d,,
13,/att; cad leap mod super,,,,fonte,
14,/cad; cant X mod subt,,,,,/cant; /fonte
15,cad simple ten ,,,,,
16,,,,,/cad,
