Measure,1,1.5,2,2.5,3,3.5
0,,,,,,pdo
1,,,,,,
2,,,,/pdo,,
3,att X,,,,,
4,/att; cad doux,,,,,
5,/cad; 1to3 tail a cant mod maj,,,att,/1to3,
6,/att ,,cad double leap,,,
7,,,,,,
8,,,,/cad; pdo,,
9,imit,,,,,
10,/pdo,,ttc d phr mod min,,,
11,/imit; /ttc; ten mod sub,,,/ten; cad simple mod sub,,
12,/cad; pdo,,,/pdo,ttc d ten,
13,/ttc; 3fall mod super; alt mod sub,,,/alt; cad double X mod min,,
14,/3fall,,,,,
15,,,,,/cad,
