Measure,1,1.5,2,2.5,3,3.5
0,,,,,,pdo imit
1,,,,cad long,,
2,/pdo,,,,,/cad
3,cad doux,,,,/cad; gasp mod ? blt,
4,/gasp; 4up mod maj,,,,,
5,/4up; cad double; ten 5-6,,,/ten,,
6,,,,/cad; att long 3to5 mod min,,
7,,,,,,
8,,/att,cant; ptc ↓ mod ← #3,,/cant,
9,,,/ptc; cad simple,,,
10,/cad; ttc ↑ mod ←,,,,/ttc; alt,
11,/alt,cad ev alt ten ↓ mod ←,,,,
12,/cad; tail ↓ ten comp,,,,,
13,/tail; cad simple long 3to5 mod min,,,,,
14,,,,,/cad,
