Measure,1,1.5,2,2.5,3,3.5
0,,,,,,pdo
1,,,,,,
2,/pdo; ttc phr d ev mod maj,,,,,
3,/ttc; tpro,,,,,
4,/tpro; mon-rom mod min; ttc d ten 5-6 mod dom,,,,,
5,/ttc; ten dec mod sub,,,gasp,,
6,/ten; /gasp; /mon-rom; ttc d phr mod min,,,,,
7,/ttc; cad double mod dom b3,,,,,
8,,,,,,
9,,,,/cad,,pdo b3
10,,,,,,
11,,,,,,
12,/pdo; cad comp long mod maj,,,,,
13,,,,,,
14,,,/cad,plag,,
15,,/plag; cant mod dom,,,,
16,,/cant; alt mod sub,,,/alt; 7-6 chain,
17,tail d ten mod min,/7-6; ,,/tail; cad simple,,
18,,,,,/cad,
