Measure,1,1.5,2,2.5,3,3.5
0,,,,,,
1,ttc d ten,,,/ttc,cant,
2,/cant; d3,,,/d3; fonte; pdo mod super,,
3,/pdo,,cant d mod sub,,/cant; /fonte; cad dec,
4,,,/cad,plag 5-6,,/plag
5,ttc d X mod dom,,,,/ttc; alt mod sub,
6,/alt; cad comp long mod dom,,,,,
7,,,,/cad,,alt mod sub
8,,/alt,ttc d ten comp dec,,,
9,/ttc,?,,cad double d 7-prep mod dom,,
10,/?,,,,,
11,/cad,,phr comp d ev blt mod super ,,,
12,/phr; fonte dec; ten mod sub,,,/ten; ten mod subt dec,,
13,/fonte; /ten,roman leap 10s,,,//roman />cant mod super,
14,/cant ,cad long mod subt,,,,
15,,,,,/cad,
