Measure,1,1.5,2,2.5,3,3.5
1,ttc d phr att,,,,,
2,,,,/ttc,,
3,cant mod sub,,,,,
4,/cant; cad mod dom,,,/cad; lyd blt mod maj,,
5,/lyd; d3,,,,/d3; ten 5-6,
6,/ten; ttc d,,,,,
7,/ttc; cad,,,,,
8,/cad; cad dec,,,,,
9,/cad; ttc d phr att mod min,,,,,
10,,,,/ttc; fen imit,,
11,cad doux,,,,/fen; /cad; d3 10s,
12,/d3; tail ten d mod sub #6,,,/tail; cad long mod subt,,
13,,,,,,
14,/cad; 5-6 chain d; alt mod dom #4,,,/alt; ten mod super,,
15,/5-6; /ten; cad mod sub #3,,,/cad; plag gasp mod dom,,
16,/plag,,,plag mod maj,,
17,/plag; cad double long 3to5 mod min,,,,,
18,,,,,,
19,,,,,/cad,
