Measure,1,1.5,2,2.5,3,3.5
0,,,,,,cad ev alt
1,,,,ptc d X,,
2,/cad,,,/ptc; att,,
3,/att; 3fall mod min,,,att X,,
4,/3fall; /att,tail d ten,,/tail; ten mod subt #6,,/ten; cad dec
5,,/cad,cad simple,,,
6,,,,/cad,,
7,alt mod sub,,,/alt; tail d ten comp dec,,
8,,,/tail; ttc d phr mod min,,,
9,/ttc; cad comp,,,/cad; cad mod sub #3,,
10,/cad; cad ev alt mod sub #3,,,/cad; cant mod sub b5,,
11,/cant; att,,/att,cad double long,,
12,5-6,,,,,/5-6
13,,,,,,
14,,,,,/cad,
