Measure,1,1.5,2,2.5,3,3.5
0,,,,,imit,
1,,,,/imit; long,,
2,/long,,ttc cant a,,,
3,/ttc; att doux; ten mod dom,,,,/ten,
4,/att; cant mod sub,,,/cant; lyd,,
5,/lyd,,,cad leap mod dom,,
6,,,,,,
7,,,,/cad,,pdo imit X
8,,,,/pdo; cad,,
9,/cad; alt mod sub,,,/alt; tail ten d 4/2,,
10,/tail; cad double mod sub,,,,,
11,/cad;  ,ttc ten d dec,,,/ttc; tail cant a,
12,/tail; ttc d ten comp mod dom #4,,,,,
13,/ttc; 4up mod sub; alt,/alt,,,,
14,/4up; cad double leap,,,,,
15,,,,,/cad,
